,Outlier,comment_count,down_votes,post_id,reputation,score,up_votes,user_id,view_count,views
779,reputation,0,38,33599188,10273,0,611,997112,16,1477
884,reputation,0,4,35106627,20009,1,57,275501,20,326
902,reputation,1,623,34573995,16675,0,787,1822164,20,2758
908,reputation,0,778,35155919,12553,2,920,789657,13,4323
937,reputation,0,49,33430762,7182,1,472,2613662,15,404
938,reputation,0,49,34338113,7182,0,472,2613662,11,404
950,reputation,0,982,33372277,45986,0,7664,13744,12,3214
974,reputation,4,1629,36012966,263224,0,1401,507674,18,21673
995,reputation,0,4,37723493,7668,0,284,2145647,4,376
1000,reputation,0,226,36594706,13447,0,1270,777733,19,795
1001,reputation,0,226,32904234,13447,0,1270,777733,10,795
1002,reputation,9,226,37746267,13447,0,1270,777733,20,795
1038,reputation,1,187,36572155,35053,1,483,191463,12,2370
1039,reputation,0,187,34476742,35053,0,483,191463,18,2370
1044,reputation,0,283,37746794,13423,0,1419,39643,10,1368
1045,reputation,0,283,37597279,13423,0,1419,39643,13,1368
1047,reputation,2,32,25503699,10582,0,2577,846476,17,743
1048,reputation,0,32,25253387,10582,0,2577,846476,19,743
1049,reputation,0,32,37118519,10582,0,2577,846476,8,743
1050,reputation,0,32,31809898,10582,0,2577,846476,11,743
1051,reputation,0,32,34819144,10582,0,2577,846476,12,743
1070,reputation,4,288,15047053,18947,0,3874,156755,16,5049
1074,reputation,0,707,35397328,68366,0,2485,102441,17,5776
1075,reputation,2,707,35566927,68366,0,2485,102441,13,5776
1076,reputation,0,707,35873641,68366,1,2485,102441,19,5776
1077,reputation,0,707,36923309,68366,0,2485,102441,14,5776
1085,reputation,0,10,8236516,10723,0,29,177511,20,746
1087,reputation,0,32,31974416,10549,0,236,1127699,19,1650
1111,reputation,0,272,30871945,52400,0,2547,16511,15,4683
1114,reputation,2,18,32074632,17783,1,1862,509706,19,1388
1125,reputation,1,97,25306834,26725,1,623,898289,12,1647
1150,reputation,2,11,22179082,16473,0,1262,683553,14,1586
1151,reputation,0,11,31927733,16473,0,1262,683553,12,1586
